"NOMBRE DE LA SERIE",DF_MESNAA20F1U62240Z01E,DF_MESNAA20I1U62240Z01E,DF_MESNAA20J1U62240Z01E,DF_MESNAA20F1U62251Z01E,DF_MESNAA20I1U62251Z01E,DF_MESNAA20J1U62251Z01E,DF_MESNAA22A1U62250Z01E,DF_MESNAA21A1U62250Z01E,DF_MESNAA23A1U62250Z01E,DF_MESNAA23A1U62253Z01E,DF_MESNAA20A1U62252Z01E
"ABR 2018",99772,118118,239848,27221,41888,621171,523996,78887,87397,42298,5313
"MAY 2018",98995,116418,240832,27451,42430,621187,523786,80073,87209,42445,5396
"JUN 2018",101357,116276,240160,34211,42510,623378,524393,82234,93472,42513,5378
"JUL 2018",100197,115318,239210,28705,43094,621639,523969,82327,87143,42570,5450
"AGO 2018",97267,113199,237789,28749,43130,620720,522776,82797,87026,42470,5407
"SEP 2018",100179,113393,236385,28550,43566,621268,521277,83513,88594,42632,5328
"OCT 2018",98263,116774,238408,28232,44053,620361,520686,84419,87541,42401,5327
"NOV 2018",96463,118201,237920,34707,44381,621855,520527,87064,93352,41985,5353
"DIC 2018",99382,110384,235745,29167,44528,618262,518767,86669,86522,42433,5278
"ENE 2019",97691,111450,232987,28842,44766,617337,517902,86981,86062,42110,5240
"FEB 2019",95878,112191,233331,28142,45001,617214,517633,86836,85888,41963,5181
"MAR 2019",98587,111052,234659,27983,45429,618034,517931,88672,84843,41613,5010
"ABR 2019",97656,111101,234013,28583,45772,617001,517221,89645,84490,41738,5076
"MAY 2019",96293,110839,236311,28690,46225,617779,517461,90898,84335,41521,5141
"JUN 2019",100331,110400,233480,34896,46580,618717,516751,91250,92192,41347,5282
"JUL 2019",99290,110628,234735,29520,47006,615270,515100,91546,85151,41729,5479
"AGO 2019",96101,110246,233366,29216,47163,614764,514377,91790,84975,41466,5421
"SEP 2019",97024,107973,233008,28969,46989,612715,513184,91209,84279,41340,5430
"OCT 2019",97656,107818,231861,29132,47136,610805,512663,91978,82431,41176,5464
